"created_on","provincia","partido","rooms","surface_total","surface_covered","price","currency","title","property_type","operation_type","lat","lon"
"202106","GBA","Pilar",1,49,33,21000,"ARS","Departamento - Pilar","Departamento","Alquiler",-34.4345016479,-58.8307991028
"202106","CABA","Comuna 5",1,27,25,26900,"ARS","DEPARTAMENTO EN ALQUILER EN ALMAGRO 1 AMB BALCON","Departamento","Alquiler",-34.6025578,-58.4243899
"202106","CABA","Comuna 14",1,34,30,37000,"ARS","Alquiler Monoambiente AMOBLADO - Palermo","Departamento","Alquiler",-34.5922059,-58.4157274
"202106","CABA","Comuna 13",1,48,42,35000,"ARS","Apto profesional: Solo se alquila como oficina o estudio profesional","Departamento","Alquiler",-34.5828068,-58.4482828
"202106","GBA","Hurlingham",1,30,30,16000,"ARS","Monoambiente 1 Piso por escalera","Departamento","Alquiler",-34.6303375,-58.643524
"202106","CABA","Comuna 1",1,46,37,35000,"ARS","Juncal Esmeralda: edificio premium 2 ambientes  balcon terraza cocina integrada, equipado amueblado amenities  categoría ","Departamento","Alquiler",-34.5928008,-58.3790167
"202106","CABA","Comuna 4",1,33,33,25000,"ARS","ALQUILER MONOAMBIENTE PARQUE PATRICIOS","Departamento","Alquiler",-34.6347007,-58.3999765
"202106","CABA","Comuna 14",2,45,40,45000,"ARS","Departamento - Palermo Soho","PH","Alquiler",-34.5909989,-58.4320487
"202106","CABA","Comuna 14",2,55,45,58000,"ARS","Departamento - Palermo Soho","PH","Alquiler",-34.5909989,-58.4320487
"202106","CABA","Comuna 4",2,30,30,25000,"ARS","PH-  2 ambientes x Escalera  en Alquiler  - NO PAGA EXPENSAS - A metros del Parque F. Ameghino -  Parque Patricios","PH","Alquiler",-34.63499,-58.3936372
"202106","GBA","Tigre",2,74,50,65000,"ARS","Departamento  dos ambientes en Nordelta edificio Zaduh","Departamento","Alquiler",-34.3908751,-58.6420805
"202106","CABA","Comuna 7",2,56,53,38000,"ARS","DEPARTAMENTO 2AMB EN ALQUILER EN FLORES CON BALCÓN","Departamento","Alquiler",-34.6361406,-58.4690844
"202106","CABA","Comuna 7",2,38,36,23000,"ARS","Departamento - Flores","Departamento","Alquiler",-34.6208015,-58.4604068
"202106","CABA","Comuna 1",2,39,37,21000,"ARS","2 ambientes - Aceptamos Seguro de Caución -","Departamento","Alquiler",-34.5954332574,-58.3811024836
"202106","CABA","Comuna 14",2,40,35,25000,"ARS","2 AMBIENTES | MARIO BRAVO al 1000","Departamento","Alquiler",-34.5971822342,-58.4158242503
"202106","CABA","Comuna 14",2,70,60,90000,"ARS","Departamento - Palermo Chico","Departamento","Alquiler",-34.5755947,-58.4208487
"202106","CABA","Comuna 14",2,41,37,40000,"ARS","Dpto 2 ambientes Alquiler Palermo con balcon","Departamento","Alquiler",-34.5927666,-58.4144601
"202106","GBA","Quilmes",2,54,48,24000,"ARS","Departamento 2 ambientes en venta o alquiler - Terrazas de Quilmes","Departamento","Alquiler",-34.7270859,-58.2479641
"202106","CABA","Comuna 13",2,40,40,29000,"ARS","Luminoso a mts Plaza Castelli! Balcón aterrazado incorporado","Departamento","Alquiler",-34.5667216,-58.4641361
"202106","CABA","Comuna 13",2,39,39,23000,"ARS","ALQUILER DPTO  2 AMBIENTES EN BELGRANO","Departamento","Alquiler",-34.5473,-58.4599
"202106","CABA","Comuna 13",2,50,46,45000,"ARS","Departamento - Belgrano","Departamento","Alquiler",-34.562755882,-58.4625014292
"202106","CABA","Comuna 13",2,61,58,45000,"ARS","Alquiler: Increible 2 ambientes 61mts. - Piscina - Solarium - Parrilla - Laundry","Departamento","Alquiler",-34.5617208,-58.463909
"202106","GBA","La Plata",2,48,45,18000,"ARS","Departamento - La Plata","Departamento","Alquiler",-34.9242774567,-57.9669767451
"202106","CABA","Comuna 2",2,43,38,33000,"ARS","Alquiler de Departamento dos ambientes Recoleta","Departamento","Alquiler",-34.5911012,-58.3966132
"202106","CABA","Comuna 2",2,35,32,29900,"ARS","Alquiler - Departamento - Recoleta - 2 ambientes - Apto profesional","Departamento","Alquiler",-34.5919658,-58.4113884
"202106","CABA","Comuna 12",2,34,34,25000,"ARS","DEPARTAMENTO DE 2 AMBIENTES","Departamento","Alquiler",-34.554242,-58.4915489
"202106","CABA","Comuna 6",2,42,37,40000,"ARS","Impecable 2 amb. Amoblado. Caballito","Departamento","Alquiler",-34.6108530052,-58.4522330761
"202106","CABA","Comuna 6",2,43,40,49000,"ARS","Depto. Alquiler 2 Amb.Caballito.Full Amenities Seg","Departamento","Alquiler",-34.6159665,-58.4331529
"202106","CABA","Comuna 6",2,53,48,35000,"ARS","Luminoso departamento 2 ambientes al fte con balcon - Caballito","Departamento","Alquiler",-34.6302308,-58.4485963
"202106","CABA","Comuna 1",2,39,37,32000,"ARS","Departamento - Congreso","Departamento","Alquiler",-34.616861309,-58.3889035805
"202106","CABA","Comuna 1",2,30,30,28000,"ARS","DEPARTAMENTO 2 AMB - SAN TELMO","Departamento","Alquiler",-34.618197,-58.367282
"202106","GBA","Avellaneda",2,48,46,19000,"ARS","Alquiler de Departamento 2 ambientes con cochera en Villa Dominico (26712)","Departamento","Alquiler",-34.6949351,-58.3340877
"202106","GBA","San Isidro",2,49,45,40000,"ARS","Departamento - San Isidro","Departamento","Alquiler",-34.4707267102,-58.5228070111
"202106","GBA","San Miguel",2,40,40,30000,"ARS","Alquiler - Departamento de 2 Ambientes - Bella Vista","Departamento","Alquiler",-34.5486226,-58.6918521
"202106","GBA","San Miguel",2,40,40,23000,"ARS","Departamento - Centro (S.Mig.)","Departamento","Alquiler",-34.5422119433,-58.714762354
"202106","CABA","Comuna 15",2,37,36,30000,"ARS","ALQUILER DEPARTAMENTO 2 AMBIENTES VILLA URQUIZA","Departamento","Alquiler",-34.5824075,-58.4762057
"202106","CABA","Comuna 2",2,36,35,26000,"ARS","Barrio Norte: Alquiler de departamentos: 2 ambientes. Muy luminoso. Vista abierta. Excelente ubicación a 2 cuadras de Av. Santa Fe y subte D estación Aguero. Vigilancia 24 hs.","Departamento","Alquiler",-34.5948527,-58.4082469
"202106","CABA","Comuna 2",2,70,50,45000,"ARS","Departamento en alquiler en Barrio Norte. 2 ambientes contrafrente. Balcón. Cochera Fija. Pileta, so","Departamento","Alquiler",-34.5928623,-58.4094393
"202106","GBA","San Fernando",2,60,55,20000,"ARS","Departamento - San Fernando","Departamento","Alquiler",-34.446284713,-58.5493262891
"202106","CABA","Comuna 12",2,42,39,29500,"ARS","Depto 2 amb, Moderno, muy luminoso, full amenities","Departamento","Alquiler",-34.575049,-58.5005459
"202106","CABA","Comuna 12",2,40,36,41000,"ARS","Departamento 2 ambientes en semipiso","Departamento","Alquiler",-34.5688374,-58.4874668
"202106","CABA","Comuna 15",2,80,40,32000,"ARS","DEPARTAMENTO DE DOS AMBIENTES CON TERRAZA PROPIA EN EDIFICIO CON AMENITIES","Departamento","Alquiler",-34.5879952,-58.4790096
"202106","GBA","Vicente López",2,46,40,45000,"ARS","AMUEBLADO - 2 Ambientes con amplio balcon a metros de Av. Maipu","Departamento","Alquiler",-34.5102657,-58.4899688
"202106","GBA","Almirante Brown",2,50,50,24000,"ARS","DEPTO 2 AMBIENTES A 1 CUADRA DE PLAZA CERRETI","Departamento","Alquiler",-34.8021343585,-58.384285254
"202106","GBA","Lomas de Zamora",2,40,40,20000,"ARS","Departamento - Lomas de Zamora Oeste","Departamento","Alquiler",-34.759165,-58.3980193
"202106","CABA","Comuna 7",2,42,37,34000,"ARS","Alquiler departamento en Parque Chacabuco","Departamento","Alquiler",-34.6340618,-58.4328816
"202106","CABA","Comuna 10",3,57,55,50000,"ARS","PH - Versalles","PH","Alquiler",-34.6210772,-58.5144536
"202106","CABA","Comuna 10",3,80,60,60000,"ARS","PH - Devoto","PH","Alquiler",-34.6213621,-58.5143017
"202106","GBA","La Plata",3,77,77,22000,"ARS","182 e/ 518 y 519 Casa en ALQUILER - La Plata","Casa","Alquiler",-34.9599514608,-58.0613442287
"202106","GBA","Tigre",3,90,75,130000,"ARS","Alquiler 3 ambientes con jardín en Praderas de Santa Bárbara","Departamento","Alquiler",-34.4327387,-58.6213153
"202106","CABA","Comuna 13",3,82,65,100000,"ARS","Excelente y Moderno. 2 Dormitorios - Cochera -  AMENITIES!!! SEG 24 HS.","Departamento","Alquiler",-34.5504428,-58.4678886
"202106","CABA","Comuna 9",3,55,55,35000,"ARS","GORDILLO 15 - LINIERS","Departamento","Alquiler",-34.6519399,-58.5154036
"202106","CABA","Comuna 14",3,60,52,55000,"ARS","ALQUILER DEPARTAMENTO 3 AMBIENTES PB PALERMO","Departamento","Alquiler",-34.5951182,-58.4242681
"202106","GBA","La Plata",3,54,51,20000,"ARS","Departamento - Tolosa - La Plata - Hernández -","Departamento","Alquiler",-34.9131385877,-58.0032998851
"202106","GBA","La Plata",3,50,46,26000,"ARS","Departamento en ALQUILER de 2 dormitorios","Departamento","Alquiler",-34.9070809,-57.9735369
"202106","CABA","Comuna 2",3,65,65,40000,"ARS","Departamento 3 ambientes en ALQUILER EN RECOLETA","Departamento","Alquiler",-34.5931911,-58.4005779
"202106","CABA","Comuna 13",3,56,52,35000,"ARS","T. GARCÍA 2885 - COLEGIALES - 3 AMB. AL FRENTE CON BALCÓN!","Departamento","Alquiler",-34.573842,-58.4489284
"202106","GBA","La Matanza",3,55,50,32000,"ARS","Departamento - Ramos Mejia Sur","Departamento","Alquiler",-34.6427898,-58.5635753
"202106","GBA","San Isidro",3,61,58,45000,"ARS","Departamento - Martinez","Departamento","Alquiler",-34.4897940714,-58.5002755152
"202106","GBA","Almirante Brown",3,60,60,25000,"ARS","DEPARTAMENTO CENTRICO 3 AMB. A MTS DE LA ESTACION","Departamento","Alquiler",-34.798431425,-58.3921471063
"202106","GBA","Lomas de Zamora",3,93,93,42000,"ARS","SANTILLI - ACEVEDO 44 5ºB - Lomas de Zamora Oeste","Departamento","Alquiler",-34.7598954282,-58.4010651659
"202106","CABA","Comuna 7",4,104,62,65000,"ARS","Culpina al 1300 - PH de 4 ambientes - En alquiler - Flores","PH","Alquiler",-34.6422201,-58.4570934
"202106","GBA","Quilmes",4,98,84,34000,"ARS","ALQUILER DUPLEX 4 AMBIENTES  BERNAL CENTRO","PH","Alquiler",-34.7121803,-58.2851882
"202106","CABA","Comuna 13",4,240,110,130000,"ARS","ALQUILER TEMPORARIO PH 4 AMBIENTES EN BELGRANO","PH","Alquiler",-34.5739837,-58.4672027
"202106","CABA","Comuna 9",4,65,65,48000,"ARS","Departamento - Villa Luro","Departamento","Alquiler",-34.6381429,-58.5095313
"202106","CABA","Comuna 1",4,165,150,285000,"ARS","Departamento 4 Ambientes con Cochera Puerto Madero","Departamento","Alquiler",-34.6126394,-58.3631336
